Year at 30 June,Ethnicity,Scenario,Sex,Age,Value,Flags
"2021","European or Other (including New Zealander)","50th percentile (median)","Male","0-4 years",99900,
"2021","European or Other (including New Zealander)","50th percentile (median)","Female","0-4 years",94500,
"2021","Maori","50th percentile (median)","Male","0-4 years",43400,
"2021","Maori","50th percentile (median)","Female","0-4 years",41300,
"2021","Asian","50th percentile (median)","Male","0-4 years",34400,
"2021","Asian","50th percentile (median)","Female","0-4 years",32900,
"2021","Pacific","50th percentile (median)","Male","0-4 years",23500,
"2021","Pacific","50th percentile (median)","Female","0-4 years",22300,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Male","0-4 years",4300,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Female","0-4 years",4200,
"2021","European or Other (including New Zealander)","50th percentile (median)","Male","5-9 years",110500,
"2021","European or Other (including New Zealander)","50th percentile (median)","Female","5-9 years",104800,
"2021","Maori","50th percentile (median)","Male","5-9 years",45200,
"2021","Maori","50th percentile (median)","Female","5-9 years",42600,
"2021","Asian","50th percentile (median)","Male","5-9 years",31300,
"2021","Asian","50th percentile (median)","Female","5-9 years",30400,
"2021","Pacific","50th percentile (median)","Male","5-9 years",24300,
"2021","Pacific","50th percentile (median)","Female","5-9 years",22600,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Male","5-9 years",3800,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Female","5-9 years",3700,
"2021","European or Other (including New Zealander)","50th percentile (median)","Male","10-14 years",119500,
"2021","European or Other (including New Zealander)","50th percentile (median)","Female","10-14 years",113200,
"2021","Maori","50th percentile (median)","Male","10-14 years",47500,
"2021","Maori","50th percentile (median)","Female","10-14 years",44400,
"2021","Asian","50th percentile (median)","Male","10-14 years",26400,
"2021","Asian","50th percentile (median)","Female","10-14 years",25100,
"2021","Pacific","50th percentile (median)","Male","10-14 years",24700,
"2021","Pacific","50th percentile (median)","Female","10-14 years",23200,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Male","10-14 years",3300,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Female","10-14 years",3100,
"2021","European or Other (including New Zealander)","50th percentile (median)","Male","15-19 years",110200,
"2021","European or Other (including New Zealander)","50th percentile (median)","Female","15-19 years",105400,
"2021","Maori","50th percentile (median)","Male","15-19 years",41100,
"2021","Maori","50th percentile (median)","Female","15-19 years",39000,
"2021","Asian","50th percentile (median)","Male","15-19 years",25900,
"2021","Asian","50th percentile (median)","Female","15-19 years",24600,
"2021","Pacific","50th percentile (median)","Male","15-19 years",21800,
"2021","Pacific","50th percentile (median)","Female","15-19 years",20600,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Male","15-19 years",2800,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Female","15-19 years",2600,
"2021","European or Other (including New Zealander)","50th percentile (median)","Male","20-24 years",110900,
"2021","European or Other (including New Zealander)","50th percentile (median)","Female","20-24 years",105500,
"2021","Maori","50th percentile (median)","Male","20-24 years",38000,
"2021","Maori","50th percentile (median)","Female","20-24 years",36300,
"2021","Asian","50th percentile (median)","Male","20-24 years",36900,
"2021","Asian","50th percentile (median)","Female","20-24 years",31700,
"2021","Pacific","50th percentile (median)","Male","20-24 years",20900,
"2021","Pacific","50th percentile (median)","Female","20-24 years",20400,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Male","20-24 years",3300,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Female","20-24 years",3000,
"2021","European or Other (including New Zealander)","50th percentile (median)","Male","25-29 years",114300,
"2021","European or Other (including New Zealander)","50th percentile (median)","Female","25-29 years",112400,
"2021","Maori","50th percentile (median)","Male","25-29 years",34700,
"2021","Maori","50th percentile (median)","Female","25-29 years",34100,
"2021","Asian","50th percentile (median)","Male","25-29 years",47800,
"2021","Asian","50th percentile (median)","Female","25-29 years",41300,
"2021","Pacific","50th percentile (median)","Male","25-29 years",18500,
"2021","Pacific","50th percentile (median)","Female","25-29 years",18500,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Male","25-29 years",4200,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Female","25-29 years",4300,
"2021","European or Other (including New Zealander)","50th percentile (median)","Male","30-34 years",113500,
"2021","European or Other (including New Zealander)","50th percentile (median)","Female","30-34 years",114900,
"2021","Maori","50th percentile (median)","Male","30-34 years",30600,
"2021","Maori","50th percentile (median)","Female","30-34 years",32000,
"2021","Asian","50th percentile (median)","Male","30-34 years",49100,
"2021","Asian","50th percentile (median)","Female","30-34 years",50400,
"2021","Pacific","50th percentile (median)","Male","30-34 years",15700,
"2021","Pacific","50th percentile (median)","Female","30-34 years",15700,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Male","30-34 years",5800,
"2021","Middle Eastern/Latin American/African","50th percentile (median)","Female","30-34 years",5900,
