DHB,Dose1,Dose2,Population,Date
Northland,144645,139720,161320,2022-01-30
Waitemata,506223,499016,526087,2022-01-30
Auckland,420658,414926,423958,2022-01-30
Counties Manukau,462548,453151,482773,2022-01-30
Waikato,338444,330172,357176,2022-01-30
Lakes,87862,85182,94419,2022-01-30
Bay of Plenty,205436,199788,216941,2022-01-30
Tairawhiti,38872,37468,41965,2022-01-30
Taranaki,96371,94011,102147,2022-01-30
Hawkes Bay,140176,136326,145571,2022-01-30
MidCentral,146511,143252,152302,2022-01-30
Whanganui,52530,51120,57247,2022-01-30
Capital and Coast,266798,263554,271174,2022-01-30
Hutt Valley,125785,123521,130239,2022-01-30
Wairarapa,39835,38947,41427,2022-01-30
Nelson Marlborough,130769,128083,135743,2022-01-30
West Coast,25868,25168,27906,2022-01-30
Canterbury,478180,470667,482890,2022-01-30
South Canterbury,49946,49003,52584,2022-01-30
Southern,280563,275790,288015,2022-01-30
Overseas / Unknown,2953,2828,17173,2022-01-30
New Zealand,4040973,3961693,4209057,2022-01-30
All DHBs to 90%,NA,NA,NA,2022-01-30
