DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145786,141791,79545,114032,161320,2022-03-01
Waitemata,508108,502358,300275,431662,526087,2022-03-01
Auckland,421947,417306,261527,365326,423958,2022-03-01
Counties Manukau,465131,457889,250731,380923,482773,2022-03-01
Waikato,340583,334120,185720,274224,357176,2022-03-01
Lakes,88421,86369,47302,68066,94419,2022-03-01
Bay of Plenty,206802,202516,112378,163136,216941,2022-03-01
Tairawhiti,39231,38130,20353,29121,41965,2022-03-01
Taranaki,96882,95149,52626,76402,102147,2022-03-01
Hawkes Bay,141519,138658,79842,110996,145571,2022-03-01
MidCentral,147465,145033,87271,117684,152302,2022-03-01
Whanganui,52906,51811,30880,41738,57247,2022-03-01
Capital and Coast,267861,265477,181295,226916,271174,2022-03-01
Hutt Valley,126274,124654,78530,102966,130239,2022-03-01
Wairarapa,40095,39381,24383,32105,41427,2022-03-01
Nelson Marlborough,131475,129465,81864,106427,135743,2022-03-01
West Coast,25974,25451,15236,20416,27906,2022-03-01
Canterbury,482241,476684,293815,395765,482890,2022-03-01
South Canterbury,50189,49520,31141,41067,52584,2022-03-01
Southern,282219,278602,176247,233169,288015,2022-03-01
Overseas / Unknown,2985,2883,1339,2369,17173,2022-03-01
New Zealand,4064094,4003247,2392300,3334510,4209057,2022-03-01
