DHB,Dose1,Population,Date
Northland,4638,19480,2022-02-10
Waitemata,32107,61881,2022-02-10
Auckland,23089,40861,2022-02-10
Counties Manukau,28747,65365,2022-02-10
Waikato,16207,43635,2022-02-10
Lakes,3691,11998,2022-02-10
Bay of Plenty,8105,25345,2022-02-10
Tairawhiti,1836,5647,2022-02-10
Taranaki,4628,12748,2022-02-10
Hawkes Bay,6002,17749,2022-02-10
MidCentral,6758,17720,2022-02-10
Whanganui,1872,6588,2022-02-10
Capital and Coast,15525,27051,2022-02-10
Hutt Valley,7758,14890,2022-02-10
Wairarapa,1584,4294,2022-02-10
Nelson Marlborough,6085,13612,2022-02-10
West Coast,829,2733,2022-02-10
Canterbury,22781,49808,2022-02-10
South Canterbury,2164,5298,2022-02-10
Southern,12302,28939,2022-02-10
Overseas / Unknown,74,652,2022-02-10
Total,206782,476294,2022-02-10
