DHB,Dose1,Dose2,Population,Date
Northland,6643,1014,19480,2022-03-25
Waitemata,37196,9587,61881,2022-03-25
Auckland,26398,7549,40861,2022-03-25
Counties Manukau,35495,7272,65365,2022-03-25
Waikato,20213,4231,43635,2022-03-25
Lakes,4833,1068,11998,2022-03-25
Bay of Plenty,10400,1966,25345,2022-03-25
Tairawhiti,2722,523,5647,2022-03-25
Taranaki,5794,1571,12748,2022-03-25
Hawkes Bay,8001,1453,17749,2022-03-25
MidCentral,8994,1988,17720,2022-03-25
Whanganui,2659,600,6588,2022-03-25
Capital and Coast,18230,6078,27051,2022-03-25
Hutt Valley,9475,2386,14890,2022-03-25
Wairarapa,2179,430,4294,2022-03-25
Nelson Marlborough,7131,2009,13612,2022-03-25
West Coast,1212,221,2733,2022-03-25
Canterbury,30272,6847,49808,2022-03-25
South Canterbury,2784,592,5298,2022-03-25
Southern,15880,3117,28939,2022-03-25
Overseas / Unknown,82,18,652,2022-03-25
Total,256593,60520,476294,2022-03-25
