DHB,Dose1,Population,Date
Northland,1551,10478,2022-02-10
Waitemata,2808,8520,2022-02-10
Auckland,1626,4322,2022-02-10
Counties Manukau,3274,13654,2022-02-10
Waikato,3130,14353,2022-02-10
Lakes,1144,5837,2022-02-10
Bay of Plenty,1756,9663,2022-02-10
Tairawhiti,877,3586,2022-02-10
Taranaki,931,3891,2022-02-10
Hawkes Bay,1446,7110,2022-02-10
MidCentral,1344,5415,2022-02-10
Whanganui,462,2707,2022-02-10
Capital and Coast,1834,4676,2022-02-10
Hutt Valley,1280,3674,2022-02-10
Wairarapa,306,1304,2022-02-10
Nelson Marlborough,735,2457,2022-02-10
West Coast,139,548,2022-02-10
Canterbury,2364,7502,2022-02-10
South Canterbury,229,788,2022-02-10
Southern,1440,4918,2022-02-10
Overseas / Unknown,9,159,2022-02-10
Total,28685,115562,2022-02-10
