DHB,Dose1,Dose2,Population,Date
Northland,2590,167,10478,2022-03-21
Waitemata,3462,561,8520,2022-03-21
Auckland,1955,366,4322,2022-03-21
Counties Manukau,4389,515,13654,2022-03-21
Waikato,4436,451,14353,2022-03-21
Lakes,1636,204,5837,2022-03-21
Bay of Plenty,2533,263,9663,2022-03-21
Tairawhiti,1551,154,3586,2022-03-21
Taranaki,1207,171,3891,2022-03-21
Hawkes Bay,2248,241,7110,2022-03-21
MidCentral,1997,208,5415,2022-03-21
Whanganui,771,84,2707,2022-03-21
Capital and Coast,2314,429,4676,2022-03-21
Hutt Valley,1672,218,3674,2022-03-21
Wairarapa,459,72,1304,2022-03-21
Nelson Marlborough,939,135,2457,2022-03-21
West Coast,214,27,548,2022-03-21
Canterbury,3312,450,7502,2022-03-21
South Canterbury,319,39,788,2022-03-21
Southern,1984,195,4918,2022-03-21
Overseas / Unknown,10,5,159,2022-03-21
Total,39998,4950,115562,2022-03-21
