DHB,Dose1,Population,Date
Northland,91,582,2022-01-30
Waitemata,1756,6497,2022-01-30
Auckland,1826,7257,2022-01-30
Counties Manukau,4719,20488,2022-01-30
Waikato,483,1950,2022-01-30
Lakes,112,405,2022-01-30
Bay of Plenty,139,696,2022-01-30
Tairawhiti,31,128,2022-01-30
Taranaki,52,260,2022-01-30
Hawkes Bay,170,994,2022-01-30
MidCentral,166,932,2022-01-30
Whanganui,31,277,2022-01-30
Capital and Coast,769,2822,2022-01-30
Hutt Valley,414,1521,2022-01-30
Wairarapa,18,141,2022-01-30
Nelson Marlborough,137,477,2022-01-30
West Coast,7,56,2022-01-30
Canterbury,538,2442,2022-01-30
South Canterbury,83,211,2022-01-30
Southern,282,1171,2022-01-30
Overseas / Unknown,5,91,2022-01-30
Total,11829,49398,2022-01-30
