DHB,Dose1,Dose2,Population,Date
Northland,209,41,582,2022-04-05
Waitemata,2985,652,6497,2022-04-05
Auckland,3308,762,7257,2022-04-05
Counties Manukau,9583,1896,20488,2022-04-05
Waikato,932,188,1950,2022-04-05
Lakes,185,42,405,2022-04-05
Bay of Plenty,292,48,696,2022-04-05
Tairawhiti,83,12,128,2022-04-05
Taranaki,106,34,260,2022-04-05
Hawkes Bay,433,65,994,2022-04-05
MidCentral,433,106,932,2022-04-05
Whanganui,102,13,277,2022-04-05
Capital and Coast,1416,355,2822,2022-04-05
Hutt Valley,829,166,1521,2022-04-05
Wairarapa,81,13,141,2022-04-05
Nelson Marlborough,260,61,477,2022-04-05
West Coast,25,6,56,2022-04-05
Canterbury,1262,278,2442,2022-04-05
South Canterbury,153,18,211,2022-04-05
Southern,634,145,1171,2022-04-05
Overseas / Unknown,12,5,91,2022-04-05
Total,23323,4905,49398,2022-04-05
