DHB,Dose1,Dose2,Population,Date
Northland,43433,40855,50488,2022-02-13
Waitemata,37719,36477,41113,2022-02-13
Auckland,26237,25383,27792,2022-02-13
Counties Manukau,57031,54405,63493,2022-02-13
Waikato,63130,59994,69707,2022-02-13
Lakes,26862,25414,30085,2022-02-13
Bay of Plenty,41592,39239,47734,2022-02-13
Tairawhiti,17874,16961,19839,2022-02-13
Taranaki,14350,13641,15904,2022-02-13
Hawkes Bay,30795,29155,34059,2022-02-13
MidCentral,22761,21691,24225,2022-02-13
Whanganui,11716,11153,13512,2022-02-13
Capital and Coast,25685,24950,26967,2022-02-13
Hutt Valley,17887,17154,19123,2022-02-13
Wairarapa,5884,5605,6302,2022-02-13
Nelson Marlborough,10197,9745,11248,2022-02-13
West Coast,2492,2372,2765,2022-02-13
Canterbury,35121,33889,36969,2022-02-13
South Canterbury,3135,2994,3428,2022-02-13
Southern,21946,21184,23646,2022-02-13
Overseas / Unknown,325,302,2653,2022-02-13
New Zealand,516172,492563,571052,2022-02-13
All DHBs to 90%,NA,NA,NA,2022-02-13
