DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43711,41386,15725,27819,50488,2022-02-27
Waitemata,37868,36789,15405,26641,41113,2022-02-27
Auckland,26365,25608,11829,19418,27792,2022-02-27
Counties Manukau,57264,54985,20096,37862,63493,2022-02-27
Waikato,63529,60716,22108,40971,69707,2022-02-27
Lakes,27045,25770,9688,16612,30085,2022-02-27
Bay of Plenty,41881,39795,14665,25646,47734,2022-02-27
Tairawhiti,17986,17163,6981,11262,19839,2022-02-27
Taranaki,14449,13833,4793,8864,15904,2022-02-27
Hawkes Bay,30996,29586,11147,18692,34059,2022-02-27
MidCentral,22888,21967,8749,14270,24225,2022-02-27
Whanganui,11820,11313,4664,7466,13512,2022-02-27
Capital and Coast,25794,25167,12354,18272,26967,2022-02-27
Hutt Valley,17955,17372,7553,11776,19123,2022-02-27
Wairarapa,5893,5634,2212,3638,6302,2022-02-27
Nelson Marlborough,10249,9856,4169,6369,11248,2022-02-27
West Coast,2498,2408,1003,1647,2765,2022-02-27
Canterbury,35338,34317,14776,23117,36969,2022-02-27
South Canterbury,3164,3045,1230,1981,3428,2022-02-27
Southern,22048,21390,9540,14862,23646,2022-02-27
Overseas / Unknown,349,328,106,219,2653,2022-02-27
New Zealand,519090,498428,198793,337404,571052,2022-02-27
