DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43746,41750,18591,32687,50488,2022-03-26
Waitemata,37913,36958,17167,29621,41113,2022-03-26
Auckland,26494,25849,13239,21416,27792,2022-03-26
Counties Manukau,57329,55349,22923,43168,63493,2022-03-26
Waikato,63651,61217,25426,47695,69707,2022-03-26
Lakes,27117,26054,11294,19997,30085,2022-03-26
Bay of Plenty,41934,40121,16980,30877,47734,2022-03-26
Tairawhiti,17989,17258,8132,13440,19839,2022-03-26
Taranaki,14507,14009,5728,10564,15904,2022-03-26
Hawkes Bay,31042,29797,12968,22606,34059,2022-03-26
MidCentral,22954,22204,10135,17028,24225,2022-03-26
Whanganui,11840,11424,5332,8875,13512,2022-03-26
Capital and Coast,25846,25336,14012,20783,26967,2022-03-26
Hutt Valley,17995,17494,8590,13860,19123,2022-03-26
Wairarapa,5914,5701,2533,4413,6302,2022-03-26
Nelson Marlborough,10256,9919,4557,7546,11248,2022-03-26
West Coast,2491,2419,1155,1892,2765,2022-03-26
Canterbury,35496,34673,17027,27087,36969,2022-03-26
South Canterbury,3166,3071,1382,2308,3428,2022-03-26
Southern,22222,21643,10662,17080,23646,2022-03-26
Overseas / Unknown,337,321,130,243,2653,2022-03-26
New Zealand,520239,502567,227963,393186,571052,2022-03-26
