DHB,Dose1,Dose2,Population,Date
Northland,2882,2773,2934,2022-02-03
Waitemata,35654,34761,37573,2022-02-03
Auckland,43884,42662,46866,2022-02-03
Counties Manukau,109080,105989,116498,2022-02-03
Waikato,10369,10070,10682,2022-02-03
Lakes,2165,2097,2286,2022-02-03
Bay of Plenty,4806,4655,3679,2022-02-03
Tairawhiti,1037,1007,965,2022-02-03
Taranaki,1283,1248,1270,2022-02-03
Hawkes Bay,6819,6566,5020,2022-02-03
MidCentral,4485,4341,4468,2022-02-03
Whanganui,1241,1193,1381,2022-02-03
Capital and Coast,18334,17900,19177,2022-02-03
Hutt Valley,9455,9217,9894,2022-02-03
Wairarapa,874,849,837,2022-02-03
Nelson Marlborough,4505,4425,2115,2022-02-03
West Coast,287,277,282,2022-02-03
Canterbury,12634,12266,12737,2022-02-03
South Canterbury,981,957,837,2022-02-03
Southern,6715,6533,6031,2022-02-03
Overseas / Unknown,383,361,1149,2022-02-03
New Zealand,277873,270147,286681,2022-02-03
All DHBs to 90%,NA,NA,NA,2022-02-03
