DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2920,2845,1340,2399,2934,2022-04-18
Waitemata,35885,35357,17660,29659,37573,2022-04-18
Auckland,44325,43501,22263,37068,46866,2022-04-18
Counties Manukau,110151,108113,51717,90358,116498,2022-04-18
Waikato,10542,10340,5238,8757,10682,2022-04-18
Lakes,2197,2138,1139,1857,2286,2022-04-18
Bay of Plenty,4947,4857,2223,4216,3679,2022-04-18
Tairawhiti,1073,1050,564,914,965,2022-04-18
Taranaki,1297,1274,622,1047,1270,2022-04-18
Hawkes Bay,7593,7456,3746,6476,5020,2022-04-18
MidCentral,4536,4455,2285,3665,4468,2022-04-18
Whanganui,1255,1222,629,1023,1381,2022-04-18
Capital and Coast,18444,18198,10345,15568,19177,2022-04-18
Hutt Valley,9553,9387,5125,7942,9894,2022-04-18
Wairarapa,908,889,494,763,837,2022-04-18
Nelson Marlborough,4576,4521,2373,4027,2115,2022-04-18
West Coast,276,270,146,215,282,2022-04-18
Canterbury,12833,12619,6422,10548,12737,2022-04-18
South Canterbury,1013,1000,444,849,837,2022-04-18
Southern,7015,6913,3565,5865,6031,2022-04-18
Overseas / Unknown,412,398,186,343,1149,2022-04-18
New Zealand,281751,276803,138526,233559,286681,2022-04-18
