DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2923,2848,1344,2416,2934,2022-04-21
Waitemata,35887,35355,17683,29717,37573,2022-04-21
Auckland,44326,43511,22298,37166,46866,2022-04-21
Counties Manukau,110147,108114,51840,90610,116498,2022-04-21
Waikato,10547,10345,5240,8781,10682,2022-04-21
Lakes,2197,2138,1142,1867,2286,2022-04-21
Bay of Plenty,4950,4860,2227,4232,3679,2022-04-21
Tairawhiti,1073,1050,565,916,965,2022-04-21
Taranaki,1299,1276,625,1052,1270,2022-04-21
Hawkes Bay,7596,7459,3747,6488,5020,2022-04-21
MidCentral,4536,4455,2285,3673,4468,2022-04-21
Whanganui,1254,1222,631,1029,1381,2022-04-21
Capital and Coast,18440,18195,10348,15607,19177,2022-04-21
Hutt Valley,9552,9390,5128,7958,9894,2022-04-21
Wairarapa,910,891,494,766,837,2022-04-21
Nelson Marlborough,4575,4520,2377,4036,2115,2022-04-21
West Coast,276,270,148,216,282,2022-04-21
Canterbury,12835,12619,6433,10572,12737,2022-04-21
South Canterbury,1014,1001,450,858,837,2022-04-21
Southern,7017,6915,3567,5881,6031,2022-04-21
Overseas / Unknown,414,400,185,350,1149,2022-04-21
New Zealand,281768,276834,138757,234191,286681,2022-04-21
