DHB,Age,Ethnicity,Method,Population
Auckland Metro,20-24,Asian,HSU,26285
Auckland Metro,20-24,Asian,StatsNZ,40930
Auckland Metro,20-24,European or Other,HSU,48529
Auckland Metro,20-24,European or Other,StatsNZ,44490
Auckland Metro,20-24,Maori,HSU,15974
Auckland Metro,20-24,Maori,StatsNZ,18720
Auckland Metro,20-24,Pacific Peoples,HSU,23371
Auckland Metro,20-24,Pacific Peoples,StatsNZ,22500
Auckland Metro,25-29,Asian,HSU,43435
Auckland Metro,25-29,Asian,StatsNZ,57490
Auckland Metro,25-29,European or Other,HSU,56797
Auckland Metro,25-29,European or Other,StatsNZ,53860
Auckland Metro,25-29,Maori,HSU,15396
Auckland Metro,25-29,Maori,StatsNZ,17960
Auckland Metro,25-29,Pacific Peoples,HSU,22124
Auckland Metro,25-29,Pacific Peoples,StatsNZ,20820
Auckland Metro,30-34,Asian,HSU,52106
Auckland Metro,30-34,Asian,StatsNZ,60710
Auckland Metro,30-34,European or Other,HSU,55928
Auckland Metro,30-34,European or Other,StatsNZ,53220
Auckland Metro,30-34,Maori,HSU,12593
Auckland Metro,30-34,Maori,StatsNZ,14710
Auckland Metro,30-34,Pacific Peoples,HSU,18283
Auckland Metro,30-34,Pacific Peoples,StatsNZ,16980
Auckland Metro,35-39,Asian,HSU,49367
Auckland Metro,35-39,Asian,StatsNZ,54820
Auckland Metro,35-39,European or Other,HSU,52548
Auckland Metro,35-39,European or Other,StatsNZ,50230
Auckland Metro,35-39,Maori,HSU,9808
Auckland Metro,35-39,Maori,StatsNZ,11210
Auckland Metro,35-39,Pacific Peoples,HSU,16112
Auckland Metro,35-39,Pacific Peoples,StatsNZ,13800
Auckland Metro,40-44,Asian,HSU,34079
Auckland Metro,40-44,Asian,StatsNZ,38950
Auckland Metro,40-44,European or Other,HSU,52014
Auckland Metro,40-44,European or Other,StatsNZ,49970
Auckland Metro,40-44,Maori,HSU,9334
Auckland Metro,40-44,Maori,StatsNZ,10710
Auckland Metro,40-44,Pacific Peoples,HSU,14984
Auckland Metro,40-44,Pacific Peoples,StatsNZ,13290
Auckland Metro,45-49,Asian,HSU,27402
Auckland Metro,45-49,Asian,StatsNZ,31320
Auckland Metro,45-49,European or Other,HSU,60002
Auckland Metro,45-49,European or Other,StatsNZ,57690
Auckland Metro,45-49,Maori,HSU,10177
Auckland Metro,45-49,Maori,StatsNZ,11260
Auckland Metro,45-49,Pacific Peoples,HSU,14389
Auckland Metro,45-49,Pacific Peoples,StatsNZ,13300
Auckland Metro,50-54,Asian,HSU,24026
Auckland Metro,50-54,Asian,StatsNZ,27360
Auckland Metro,50-54,European or Other,HSU,59535
Auckland Metro,50-54,European or Other,StatsNZ,59630
Auckland Metro,50-54,Maori,HSU,9347
Auckland Metro,50-54,Maori,StatsNZ,10790
Auckland Metro,50-54,Pacific Peoples,HSU,14376
Auckland Metro,50-54,Pacific Peoples,StatsNZ,13350
Auckland Metro,55-59,Asian,HSU,22937
Auckland Metro,55-59,Asian,StatsNZ,25760
Auckland Metro,55-59,European or Other,HSU,58137
Auckland Metro,55-59,European or Other,StatsNZ,57850
Auckland Metro,55-59,Maori,HSU,8453
Auckland Metro,55-59,Maori,StatsNZ,9650
