Age,Date,DHB,Ethnicity,RateRatio
10 to 29,2021-07-27,Auckland Metro,Māori,0.43698557970412383
10 to 29,2021-07-27,Auckland Metro,Pacific Peoples,0.6042520830452792
10 to 29,2021-07-27,Bay of Plenty,Māori,0.5489669205072887
10 to 29,2021-07-27,Bay of Plenty,Pacific Peoples,4.074974897989703
10 to 29,2021-07-27,Canterbury,Māori,0.7172853827554674
10 to 29,2021-07-27,Canterbury,Pacific Peoples,1.0107426947265825
10 to 29,2021-07-27,Wellington Metro,Māori,0.7865823100821067
10 to 29,2021-07-27,Wellington Metro,Pacific Peoples,1.0413512343622169
10 to 29,2021-07-27,Hawkes Bay,Māori,0.524447565227919
10 to 29,2021-07-27,Hawkes Bay,Pacific Peoples,3.512099805527237
10 to 29,2021-07-27,Lakes,Māori,0.3983832050805471
10 to 29,2021-07-27,Lakes,Pacific Peoples,0.9578079435748748
10 to 29,2021-07-27,MidCentral,Māori,0.6503176680079029
10 to 29,2021-07-27,MidCentral,Pacific Peoples,0.9914874676984559
10 to 29,2021-07-27,Nelson Marlborough,Māori,0.7172307690961847
10 to 29,2021-07-27,Nelson Marlborough,Pacific Peoples,6.098141311055421
10 to 29,2021-07-27,Northland,Māori,0.48962842489210545
10 to 29,2021-07-27,Northland,Pacific Peoples,0.7499992878311229
10 to 29,2021-07-27,South Canterbury,Māori,0.7620753192993084
10 to 29,2021-07-27,South Canterbury,Pacific Peoples,1.9378776860076532
10 to 29,2021-07-27,Southern,Māori,0.608114326731257
10 to 29,2021-07-27,Southern,Pacific Peoples,1.1356775574243354
10 to 29,2021-07-27,Tairawhiti,Māori,0.5663357619575233
10 to 29,2021-07-27,Tairawhiti,Pacific Peoples,1.928988532405618
10 to 29,2021-07-27,Taranaki,Māori,0.4771278656132216
10 to 29,2021-07-27,Taranaki,Pacific Peoples,2.3894158878504674
10 to 29,2021-07-27,Waikato,Māori,0.5082544011336109
10 to 29,2021-07-27,Waikato,Pacific Peoples,0.8702421801467803
10 to 29,2021-07-27,Wairarapa,Māori,0.7506829680062507
10 to 29,2021-07-27,Wairarapa,Pacific Peoples,1.6920813269127877
10 to 29,2021-07-27,West Coast,Māori,0.5514077385974505
10 to 29,2021-07-27,West Coast,Pacific Peoples,2.6534356862010857
10 to 29,2021-07-27,Whanganui,Māori,0.3932933620344509
10 to 29,2021-07-27,Whanganui,Pacific Peoples,1.0913433348410984
10 to 29,2021-08-03,Auckland Metro,Māori,0.47687461784958
10 to 29,2021-08-03,Auckland Metro,Pacific Peoples,0.6368971778735676
10 to 29,2021-08-03,Bay of Plenty,Māori,0.5576933753667578
10 to 29,2021-08-03,Bay of Plenty,Pacific Peoples,2.2504531811885204
10 to 29,2021-08-03,Canterbury,Māori,0.7615046824278056
10 to 29,2021-08-03,Canterbury,Pacific Peoples,1.0768041663519161
10 to 29,2021-08-03,Wellington Metro,Māori,0.7854715520342324
10 to 29,2021-08-03,Wellington Metro,Pacific Peoples,1.0786887981885738
10 to 29,2021-08-03,Hawkes Bay,Māori,0.5620429683458152
10 to 29,2021-08-03,Hawkes Bay,Pacific Peoples,3.5347141916471343
